task,input,output,possible_outputs
larger_animal,"chihuahua, grizzly bear",grizzly bear,
larger_animal,"goldfish, puppy",puppy,
larger_animal,"chinook, pug",chinook,
larger_animal,"puppy, bee",puppy,
larger_animal,"bee, bull shark",bull shark,
larger_animal,"butterfly, koala",koala,
larger_animal,"snail, pony",pony,
larger_animal,"coyote, goldfish",coyote,
larger_animal,"butterfly, hippopotamus",hippopotamus,
larger_animal,"great white shark, toy poodle",great white shark,
larger_animal,"chamois, gorilla",gorilla,
larger_animal,"lobster, octopus",octopus,
larger_animal,"goldfish, lion",lion,
larger_animal,"human, hummingbird",human,
larger_animal,"snail, wolf",wolf,
larger_animal,"octopus, shark",shark,
larger_animal,"chipmunk, moose",moose,
larger_animal,"pony, sheltie",pony,
larger_animal,"sperm whale, pelican",sperm whale,
larger_animal,"llama, cat",llama,
larger_animal,"pelican, elk",elk,
larger_animal,"swallow, goldendoodle",goldendoodle,
larger_animal,"chinook, goldendoodle",chinook,
larger_animal,"pug, tuna",tuna,
larger_animal,"collie, mouse",collie,
larger_animal,"ferret, chamois",chamois,
larger_animal,"donkey, rat",donkey,
larger_animal,"guinea pig, capybara",capybara,
larger_animal,"sperm whale, chamois",sperm whale,
larger_animal,"tortoise, spider",tortoise,
larger_animal,"wildebeest, koi",wildebeest,
larger_animal,"chipmunk, polar bear",polar bear,
larger_animal,"cockapoo, mosquito",cockapoo,
larger_animal,"mule, largemouth bass",mule,
larger_animal,"largemouth bass, hippopotamus",hippopotamus,
larger_animal,"bee, donkey",donkey,
larger_animal,"snail, camel",camel,
larger_animal,"elephant, bald eagle",elephant,
larger_animal,"camel, sheltie",camel,
larger_animal,"cougar, ferret",cougar,
larger_animal,"dachshund, chamois",chamois,
larger_animal,"chamois, puppy",chamois,
larger_animal,"rat terrier, wildebeest",wildebeest,
larger_animal,"chihuahua, manatee",manatee,
larger_animal,"largemouth bass, sea lion",sea lion,
larger_animal,"dog, chinook",chinook,
larger_animal,"turtle, raccoon",turtle,
larger_animal,"goldendoodle, tiger",tiger,
larger_animal,"pug, pit bull",pit bull,
larger_animal,"parrot, mouse",parrot,
larger_animal,"spider, polar bear",polar bear,
larger_animal,"koi, butterfly",koi,
larger_animal,"shark, goldendoodle",shark,
larger_animal,"rabbit, jaguar",jaguar,
larger_animal,"sperm whale, spider",sperm whale,
larger_animal,"hummingbird, capybara",capybara,
larger_animal,"jaguar, goldfish",jaguar,
larger_animal,"wild boar, octopus",wild boar,
larger_animal,"sturgeon, goldendoodle",sturgeon,
larger_animal,"sturgeon, parrot",sturgeon,
larger_animal,"chinchilla, tiger",tiger,
larger_animal,"elephant, spider",elephant,
larger_animal,"rabbit, snail",rabbit,
larger_animal,"common carp, wildebeest",wildebeest,
larger_animal,"guinea pig, tuna",tuna,
larger_animal,"goldendoodle, wombat",wombat,
larger_animal,"goldendoodle, mosquito",goldendoodle,
larger_animal,"bald eagle, chinook",chinook,
larger_animal,"grizzly bear, butterfly",grizzly bear,
larger_animal,"pug, tiger",tiger,
larger_animal,"toy poodle, crocodile",crocodile,
larger_animal,"camel, mosquito",camel,
larger_animal,"giraffe, spider",giraffe,
larger_animal,"camel, rat terrier",camel,
larger_animal,"raccoon, snail",raccoon,
larger_animal,"greyhound, common carp",greyhound,
larger_animal,"chihuahua, human",human,
larger_animal,"mouse, pony",pony,
larger_animal,"pug, guinea pig",pug,
larger_animal,"cougar, raccoon",cougar,
larger_animal,"bee, bulldog",bulldog,
larger_animal,"chihuahua, cockapoo",cockapoo,
larger_animal,"camel, chamois",camel,
larger_animal,"octopus, rat",octopus,
larger_animal,"rat, alpaca",alpaca,
larger_animal,"bee, cougar",cougar,
larger_animal,"bee, chinook",chinook,
larger_animal,"pug, capybara",capybara,
larger_animal,"alpaca, rabbit",alpaca,
larger_animal,"snail, bear",bear,
larger_animal,"alpaca, crocodile",crocodile,
larger_animal,"toy poodle, chinook",chinook,
larger_animal,"bulldog, snail",bulldog,
larger_animal,"bull shark, lobster",bull shark,
larger_animal,"bee, cockapoo",cockapoo,
larger_animal,"spider, cougar",cougar,
larger_animal,"mosquito, tuna",tuna,
larger_animal,"bull shark, chinook",bull shark,
larger_animal,"poodle, tortoise",tortoise,
larger_animal,"spider, wildebeest",wildebeest,
larger_animal,"pony, hummingbird",pony,
larger_animal,"llama, rabbit",llama,
larger_animal,"donkey, beagle",donkey,
larger_animal,"chinook, liger",liger,
larger_animal,"poodle, swallow",poodle,
larger_animal,"elephant, goldendoodle",elephant,
larger_animal,"hummingbird, wombat",wombat,
larger_animal,"dog, hippopotamus",hippopotamus,
larger_animal,"koi, wolf",wolf,
larger_animal,"racoon, goat",goat,
larger_animal,"racoon, leopard",leopard,
larger_animal,"sea lion, bat",sea lion,
larger_animal,"donkey, pelican",donkey,
larger_animal,"koala, camel",camel,
larger_animal,"chipmunk, koala",koala,
larger_animal,"collie, moose",moose,
larger_animal,"moose, sheltie",moose,
larger_animal,"mosquito, elephant",elephant,
larger_animal,"butterfly, elephant",elephant,
larger_animal,"collie, tortoise",tortoise,
larger_animal,"sheltie, polar bear",polar bear,
larger_animal,"dachshund, cougar",cougar,
larger_animal,"cattle, labradoodle",cattle,
larger_animal,"turtle, spider",turtle,
larger_animal,"raccoon, goldfish",raccoon,
larger_animal,"wombat, swallow",wombat,
larger_animal,"wolf, koala",wolf,
larger_animal,"bat, rabbit",rabbit,
larger_animal,"collie, pit bull",pit bull,
larger_animal,"alpaca, liger",liger,
larger_animal,"raccoon, sperm whale",sperm whale,
larger_animal,"hummingbird, common carp",common carp,
larger_animal,"spider, labradoodle",labradoodle,
larger_animal,"common carp, chihuahua",common carp,
larger_animal,"alpaca, beagle",alpaca,
larger_animal,"orangutan, spider",orangutan,
larger_animal,"rat, labradoodle",labradoodle,
larger_animal,"alpaca, coyote",alpaca,
larger_animal,"bulldog, beagle",bulldog,
larger_animal,"hummingbird, tuna",tuna,
larger_animal,"cheetah, largemouth bass",cheetah,
larger_animal,"bee, greyhound",greyhound,
larger_animal,"ferret, largemouth bass",largemouth bass,
larger_animal,"wild boar, goldfish",wild boar,
larger_animal,"bulldog, bald eagle",bulldog,
larger_animal,"rat, elephant",elephant,
larger_animal,"snail, cheetah",cheetah,
larger_animal,"cockapoo, llama",llama,
larger_animal,"pug, golden retriever",golden retriever,
larger_animal,"wildebeest, sheltie",wildebeest,
larger_animal,"giraffe, bald eagle",giraffe,
larger_animal,"boxer, cockapoo",boxer,
larger_animal,"swallow, great white shark",great white shark,
larger_animal,"butterfly, racoon",racoon,
larger_animal,"sturgeon, koala",sturgeon,
larger_animal,"mouse, cat",cat,
larger_animal,"mule, rat",mule,
larger_animal,"cheetah, butterfly",cheetah,
larger_animal,"collie, bee",collie,
larger_animal,"flea, poodle",poodle,
larger_animal,"bat, pit bull",pit bull,
larger_animal,"goldendoodle, human",human,
larger_animal,"ferret, parrot",parrot,
larger_animal,"parrot, donkey",donkey,
larger_animal,"greyhound, koala",greyhound,
larger_animal,"racoon, pony",pony,
larger_animal,"shark, collie",shark,
larger_animal,"goldfish, turtle",turtle,
larger_animal,"goldendoodle, camel",camel,
larger_animal,"bald eagle, flea",bald eagle,
larger_animal,"dog, manatee",manatee,
larger_animal,"wombat, parrot",wombat,
larger_animal,"wild boar, goldendoodle",wild boar,
larger_animal,"moose, mouse",moose,
larger_animal,"chipmunk, lion",lion,
larger_animal,"chipmunk, wolf",wolf,
larger_animal,"spider, goldendoodle",goldendoodle,
larger_animal,"hippopotamus, sheltie",hippopotamus,
larger_animal,"hippopotamus, chamois",hippopotamus,
larger_animal,"pug, moose",moose,
larger_animal,"liger, ferret",liger,
larger_animal,"elephant, toy poodle",elephant,
larger_animal,"koala, turtle",turtle,
larger_animal,"human, goldfish",human,
larger_animal,"alpaca, koala",alpaca,
larger_animal,"goldfish, bald eagle",bald eagle,
larger_animal,"koi, camel",camel,
larger_animal,"racoon, hippopotamus",hippopotamus,
larger_animal,"bald eagle, shark",shark,
larger_animal,"mule, poodle",mule,
larger_animal,"bald eagle, bee",bald eagle,
larger_animal,"coyote, wombat",wombat,
larger_animal,"dog, alpaca",alpaca,
larger_animal,"poodle, mosquito",poodle,
larger_animal,"chamois, chihuahua",chamois,
larger_animal,"elk, rabbit",elk,
larger_animal,"pelican, goat",goat,
larger_animal,"chinook, puppy",chinook,
larger_animal,"orangutan, hummingbird",orangutan,
larger_animal,"hummingbird, bulldog",bulldog,
letters_list,version,v e r s i o n,
letters_list,drug,d r u g,
letters_list,communication,c o m m u n i c a t i o n,
letters_list,tale,t a l e,
letters_list,car,c a r,
letters_list,measurement,m e a s u r e m e n t,
letters_list,presidency,p r e s i d e n c y,
letters_list,punishment,p u n i s h m e n t,
letters_list,customer,c u s t o m e r,
letters_list,creation,c r e a t i o n,
letters_list,witness,w i t n e s s,
letters_list,analysis,a n a l y s i s,
letters_list,telegram,t e l e g r a m,
letters_list,pitch,p i t c h,
letters_list,club,c l u b,
letters_list,definition,d e f i n i t i o n,
letters_list,escort,e s c o r t,
letters_list,sparrow,s p a r r o w,
letters_list,cloverleaf,c l o v e r l e a f,
letters_list,institution,i n s t i t u t i o n,
letters_list,municipal,m u n i c i p a l,
letters_list,proof,p r o o f,
letters_list,pneumonia,p n e u m o n i a,
letters_list,foliage,f o l i a g e,
letters_list,sensory,s e n s o r y,
letters_list,crash,c r a s h,
letters_list,dental,d e n t a l,
letters_list,mascot,m a s c o t,
letters_list,house,h o u s e,
letters_list,mix,m i x,
letters_list,reversal,r e v e r s a l,
letters_list,drama,d r a m a,
letters_list,cut,c u t,
letters_list,port,p o r t,
letters_list,physician,p h y s i c i a n,
letters_list,genre,g e n r e,
letters_list,opera,o p e r a,
letters_list,width,w i d t h,
letters_list,elevation,e l e v a t i o n,
letters_list,cocaine,c o c a i n e,
letters_list,traffic,t r a f f i c,
letters_list,camouflage,c a m o u f l a g e,
letters_list,relationship,r e l a t i o n s h i p,
letters_list,locality,l o c a l i t y,
letters_list,superstructure,s u p e r s t r u c t u r e,
letters_list,ruler,r u l e r,
letters_list,dive,d i v e,
letters_list,advancement,a d v a n c e m e n t,
letters_list,cancel,c a n c e l,
letters_list,band,b a n d,
letters_list,relay,r e l a y,
letters_list,coordinator,c o o r d i n a t o r,
letters_list,staging,s t a g i n g,
letters_list,dedication,d e d i c a t i o n,
letters_list,recall,r e c a l l,
letters_list,copper,c o p p e r,
letters_list,fission,f i s s i o n,
letters_list,forehead,f o r e h e a d,
letters_list,pamphlet,p a m p h l e t,
letters_list,sport,s p o r t,
letters_list,grenade,g r e n a d e,
letters_list,algorithm,a l g o r i t h m,
letters_list,pounder,p o u n d e r,
letters_list,philosophy,p h i l o s o p h y,
letters_list,director,d i r e c t o r,
letters_list,treat,t r e a t,
letters_list,operation,o p e r a t i o n,
letters_list,letter,l e t t e r,
letters_list,interference,i n t e r f e r e n c e,
letters_list,coat,c o a t,
letters_list,slope,s l o p e,
letters_list,southeast,s o u t h e a s t,
letters_list,keyboard,k e y b o a r d,
letters_list,acquaintance,a c q u a i n t a n c e,
letters_list,manipulation,m a n i p u l a t i o n,
letters_list,masterpiece,m a s t e r p i e c e,
letters_list,capsule,c a p s u l e,
letters_list,upbringing,u p b r i n g i n g,
letters_list,rival,r i v a l,
letters_list,distribution,d i s t r i b u t i o n,
letters_list,habitat,h a b i t a t,
letters_list,business,b u s i n e s s,
letters_list,minute,m i n u t e,
letters_list,landing,l a n d i n g,
letters_list,bus,b u s,
letters_list,perimeter,p e r i m e t e r,
letters_list,pitcher,p i t c h e r,
letters_list,council,c o u n c i l,
letters_list,seed,s e e d,
letters_list,recruiting,r e c r u i t i n g,
letters_list,fault,f a u l t,
letters_list,amusement,a m u s e m e n t,
letters_list,gallery,g a l l e r y,
letters_list,household,h o u s e h o l d,
letters_list,routing,r o u t i n g,
letters_list,cry,c r y,
letters_list,submission,s u b m i s s i o n,
letters_list,roof,r o o f,
letters_list,air,a i r,
letters_list,eruption,e r u p t i o n,
letters_list,teenager,t e e n a g e r,
letters_list,century,c e n t u r y,
letters_list,nesting,n e s t i n g,
letters_list,decision,d e c i s i o n,
letters_list,legacy,l e g a c y,
letters_list,constitution,c o n s t i t u t i o n,
letters_list,contrast,c o n t r a s t,
letters_list,cleaning,c l e a n i n g,
letters_list,combat,c o m b a t,
letters_list,volunteer,v o l u n t e e r,
letters_list,rule,r u l e,
letters_list,award,a w a r d,
letters_list,belief,b e l i e f,
letters_list,location,l o c a t i o n,
letters_list,handing,h a n d i n g,
letters_list,knee,k n e e,
letters_list,campaign,c a m p a i g n,
letters_list,observation,o b s e r v a t i o n,
letters_list,seat,s e a t,
letters_list,ship,s h i p,
letters_list,object,o b j e c t,
letters_list,trophy,t r o p h y,
letters_list,diplomat,d i p l o m a t,
letters_list,act,a c t,
letters_list,awarding,a w a r d i n g,
letters_list,subscription,s u b s c r i p t i o n,
letters_list,entity,e n t i t y,
letters_list,underside,u n d e r s i d e,
letters_list,nation,n a t i o n,
letters_list,afternoon,a f t e r n o o n,
letters_list,mistake,m i s t a k e,
letters_list,marijuana,m a r i j u a n a,
letters_list,validity,v a l i d i t y,
letters_list,separation,s e p a r a t i o n,
letters_list,talk,t a l k,
letters_list,class,c l a s s,
letters_list,boycott,b o y c o t t,
letters_list,successor,s u c c e s s o r,
letters_list,spear,s p e a r,
letters_list,surgery,s u r g e r y,
letters_list,rehearsal,r e h e a r s a l,
letters_list,journalism,j o u r n a l i s m,
letters_list,streak,s t r e a k,
letters_list,organ,o r g a n,
letters_list,socialism,s o c i a l i s m,
letters_list,storyline,s t o r y l i n e,
letters_list,testimony,t e s t i m o n y,
letters_list,rehabilitation,r e h a b i l i t a t i o n,
letters_list,irony,i r o n y,
letters_list,combine,c o m b i n e,
letters_list,outlet,o u t l e t,
letters_list,extinction,e x t i n c t i o n,
letters_list,stretch,s t r e t c h,
letters_list,tenor,t e n o r,
letters_list,forum,f o r u m,
letters_list,eye,e y e,
letters_list,wreckage,w r e c k a g e,
letters_list,creature,c r e a t u r e,
letters_list,shopping,s h o p p i n g,
letters_list,severity,s e v e r i t y,
letters_list,brief,b r i e f,
letters_list,masonry,m a s o n r y,
letters_list,pottery,p o t t e r y,
letters_list,repertoire,r e p e r t o i r e,
letters_list,planet,p l a n e t,
letters_list,burn,b u r n,
letters_list,helium,h e l i u m,
letters_list,phrase,p h r a s e,
letters_list,shark,s h a r k,
letters_list,policy,p o l i c y,
letters_list,variety,v a r i e t y,
letters_list,patronage,p a t r o n a g e,
letters_list,draft,d r a f t,
letters_list,climb,c l i m b,
letters_list,revolt,r e v o l t,
letters_list,originality,o r i g i n a l i t y,
letters_list,canal,c a n a l,
letters_list,name,n a m e,
letters_list,center,c e n t e r,
letters_list,pumping,p u m p i n g,
letters_list,constellation,c o n s t e l l a t i o n,
letters_list,recording,r e c o r d i n g,
letters_list,future,f u t u r e,
letters_list,warehouse,w a r e h o u s e,
letters_list,resort,r e s o r t,
letters_list,grade,g r a d e,
letters_list,solar,s o l a r,
letters_list,inch,i n c h,
letters_list,bowl,b o w l,
letters_list,reach,r e a c h,
letters_list,handling,h a n d l i n g,
letters_list,speech,s p e e c h,
letters_list,banking,b a n k i n g,
letters_list,continuity,c o n t i n u i t y,
letters_list,sect,s e c t,
letters_list,operator,o p e r a t o r,
letters_list,concern,c o n c e r n,
letters_list,regulation,r e g u l a t i o n,
letters_list,edge,e d g e,
letters_list,targeting,t a r g e t i n g,
negation,"In Wales, the language Welsh is used to educate.","In Wales, the language Welsh is not used to educate.",
negation,Schizophrenia is a type of insanity.,Schizophrenia is not a type of insanity.,
negation,"on the CPI scale, Kenya ranks low.","on the CPI scale, Kenya does not rank low.",
negation,Cultural imperialism to sway local elites was used by the Roman historic empire.,Cultural imperialism to sway local elites was not used by the Roman historic empire.,
negation,The 1893 World's Columbian Exposition was held in Chicago.,The 1893 World's Columbian Exposition was not held in Chicago.,
